Latitude (decimal degrees):	50.910
Longitude (decimal degrees):	-1.404
Elevation (m):	19
Radiation database:	PVGIS-SARAH2


Slope: 51 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	0.5
System losses (%):	0.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20190919:2010,0.0,0.0,0.0,0.0,0.0,15.33,2.76,0.0
20190919:2110,0.0,0.0,0.0,0.0,0.0,14.8,3.24,0.0
20190919:2210,0.0,0.0,0.0,0.0,0.0,14.27,3.66,0.0
20190919:2310,0.0,0.0,0.0,0.0,0.0,13.74,3.72,0.0
20190920:0010,0.0,0.0,0.0,0.0,0.0,13.21,3.66,0.0
20190920:0110,0.0,0.0,0.0,0.0,0.0,12.68,3.72,0.0
20190920:0210,0.0,0.0,0.0,0.0,0.0,12.68,3.86,0.0
20190920:0310,0.0,0.0,0.0,0.0,0.0,12.68,3.93,0.0
20190920:0410,0.0,0.0,0.0,0.0,0.0,12.15,4.0,0.0
20190920:0510,0.0,0.0,0.0,0.0,0.0,12.15,4.14,0.0
20190920:0610,2.24,3.24,12.0,0.67,2.88,12.15,4.28,0.0
20190920:0710,96.64,142.22,75.55,6.1,12.24,12.68,4.55,0.0
20190920:0810,227.8,337.96,122.69,11.93,21.13,14.27,5.45,0.0
20190920:0910,335.02,510.7,161.9,17.0,29.04,15.33,6.41,0.0
20190920:1010,413.39,655.37,184.26,20.91,35.33,16.39,6.9,0.0
20190920:1110,446.96,701.8,215.62,22.91,39.27,17.45,7.1,0.0
20190920:1210,452.44,706.8,225.16,23.31,40.2,17.98,7.17,0.0
20190920:1310,448.68,744.53,181.55,22.83,37.96,18.51,7.03,0.0
20190920:1410,384.88,617.25,171.16,19.66,32.96,19.04,7.03,0.0
20190920:1510,298.9,470.57,138.51,15.37,25.9,19.04,7.1,0.0
20190920:1610,174.59,261.28,106.52,9.72,17.52,19.04,7.03,0.0
20190920:1710,46.89,73.41,53.8,3.84,8.38,18.51,6.62,0.0
20190920:1810,0.0,0.0,0.0,0.0,0.0,17.45,6.48,0.0
20190920:1910,0.0,0.0,0.0,0.0,0.0,16.39,6.07,0.0
20190920:2010,0.0,0.0,0.0,0.0,0.0,16.39,6.28,0.0
20190920:2110,0.0,0.0,0.0,0.0,0.0,16.39,6.41,0.0
20190920:2210,0.0,0.0,0.0,0.0,0.0,16.39,6.21,0.0
20190920:2310,0.0,0.0,0.0,0.0,0.0,16.39,6.0,0.0
20190921:0010,0.0,0.0,0.0,0.0,0.0,15.86,5.86,0.0
20190921:0110,0.0,0.0,0.0,0.0,0.0,15.86,5.79,0.0
20190921:0210,0.0,0.0,0.0,0.0,0.0,15.33,5.66,0.0
20190921:0310,0.0,0.0,0.0,0.0,0.0,15.33,5.66,0.0
20190921:0410,0.0,0.0,0.0,0.0,0.0,15.33,5.66,0.0
20190921:0510,0.0,0.0,0.0,0.0,0.0,15.33,5.59,0.0
20190921:0610,1.24,1.22,9.72,0.48,2.64,15.33,5.59,0.0
20190921:0710,85.7,118.81,77.33,5.58,11.99,15.33,5.38,0.0
20190921:0810,210.68,304.54,125.84,11.19,20.86,16.39,5.59,0.0
20190921:0910,317.58,485.31,160.31,16.26,28.74,17.98,6.14,0.0
20190921:1010,393.2,625.6,183.84,20.1,35.0,19.04,6.34,0.0
20190921:1110,438.32,724.84,189.91,22.5,38.9,20.1,6.34,0.0
20190921:1210,446.9,745.36,193.1,23.05,39.81,20.63,6.14,0.0
20190921:1310,417.64,683.96,192.09,21.65,37.56,21.16,5.86,0.0
20190921:1410,356.59,562.65,181.33,18.62,32.56,21.69,5.52,0.0
20190921:1510,269.71,409.79,149.87,14.26,25.52,21.69,5.52,0.0
20190921:1610,147.04,200.19,115.69,8.65,17.15,21.16,5.24,0.0
20190921:1710,24.07,20.49,48.48,2.55,8.02,20.63,4.48,0.0
20190921:1810,0.0,0.0,0.0,0.0,0.0,19.57,4.14,0.0
20190921:1910,0.0,0.0,0.0,0.0,0.0,19.57,4.34,0.0
20190921:2010,0.0,0.0,0.0,0.0,0.0,19.57,4.28,0.0
20190921:2110,0.0,0.0,0.0,0.0,0.0,19.57,3.86,0.0
20190921:2210,0.0,0.0,0.0,0.0,0.0,19.04,3.66,0.0
20190921:2310,0.0,0.0,0.0,0.0,0.0,19.04,3.31,0.0
20190922:0010,0.0,0.0,0.0,0.0,0.0,17.98,2.9,0.0
20190922:0110,0.0,0.0,0.0,0.0,0.0,17.98,2.76,0.0
20190922:0210,0.0,0.0,0.0,0.0,0.0,17.45,3.17,0.0
20190922:0310,0.0,0.0,0.0,0.0,0.0,17.45,3.59,0.0
20190922:0410,0.0,0.0,0.0,0.0,0.0,17.45,3.86,0.0
20190922:0510,0.0,0.0,0.0,0.0,0.0,16.92,4.07,0.0
20190922:0610,0.05,0.0,5.7,0.26,2.4,16.92,4.07,0.0
20190922:0710,23.82,6.17,57.17,2.7,11.74,17.98,3.31,0.0
20190922:0810,5.78,0.0,22.8,1.03,20.59,17.98,3.17,0.0
20190922:0910,25.06,0.0,65.14,2.96,28.44,17.98,3.72,0.0
20190922:1010,23.17,0.0,61.07,2.77,34.67,17.45,5.03,0.0
20190922:1110,79.98,1.57,170.44,7.76,38.53,16.39,4.48,0.0
20190922:1210,157.01,62.89,257.58,12.52,39.42,16.39,4.48,0.0
20190922:1310,129.25,39.29,228.23,10.9,37.16,17.98,6.28,0.0
20190922:1410,89.18,14.13,176.14,8.2,32.17,17.98,6.97,0.0
20190922:1510,72.7,15.66,143.07,6.72,25.14,17.98,6.83,0.0
20190922:1610,78.45,56.01,115.96,6.06,16.78,17.45,6.28,0.0
20190922:1710,16.7,9.12,40.62,2.0,7.66,16.92,5.59,0.0
20190922:1810,0.0,0.0,0.0,0.0,0.0,16.39,5.03,0.0
20190922:1910,0.0,0.0,0.0,0.0,0.0,15.33,4.28,0.0
20190922:2010,0.0,0.0,0.0,0.0,0.0,15.33,4.21,0.0
20190922:2110,0.0,0.0,0.0,0.0,0.0,15.33,4.28,0.0
20190922:2210,0.0,0.0,0.0,0.0,0.0,14.8,4.07,0.0
20190922:2310,0.0,0.0,0.0,0.0,0.0,14.8,4.07,0.0
20190923:0010,0.0,0.0,0.0,0.0,0.0,14.8,4.07,0.0
20190923:0110,0.0,0.0,0.0,0.0,0.0,14.8,4.14,0.0
20190923:0210,0.0,0.0,0.0,0.0,0.0,14.27,4.34,0.0
20190923:0310,0.0,0.0,0.0,0.0,0.0,13.74,4.9,0.0
20190923:0410,0.0,0.0,0.0,0.0,0.0,13.74,4.76,0.0
20190923:0510,0.0,0.0,0.0,0.0,0.0,13.21,4.0,0.0
20190923:0610,0.0,0.0,0.0,0.0,0.0,13.21,3.38,0.0
20190923:0710,66.98,76.05,78.63,4.69,11.49,13.74,3.38,0.0
20190923:0810,119.58,101.44,147.76,8.09,20.32,15.33,4.07,0.0
20190923:0910,176.6,145.84,211.49,11.53,28.14,15.86,5.45,0.0
20190923:1010,128.2,45.98,217.59,10.49,34.33,16.39,6.34,0.0
20190923:1110,114.3,22.2,215.36,10.09,38.16,16.92,6.41,0.0
20190923:1210,119.2,23.78,223.08,10.46,39.02,16.92,6.69,0.0
20190923:1310,22.86,0.0,60.26,2.73,36.76,16.92,6.83,0.0
20190923:1410,20.1,0.0,54.56,2.48,31.78,16.92,6.48,0.0
20190923:1510,51.48,3.17,113.69,5.21,24.76,16.39,6.34,0.0
20190923:1610,3.62,0.0,17.1,0.78,16.41,16.39,6.83,0.0
20190923:1710,4.57,0.0,19.54,0.89,7.3,15.86,7.03,0.0
20190923:1810,0.0,0.0,0.0,0.0,0.0,15.86,7.52,0.0
20190923:1910,0.0,0.0,0.0,0.0,0.0,15.86,7.79,0.0
20190923:2010,0.0,0.0,0.0,0.0,0.0,16.39,7.17,0.0
20190923:2110,0.0,0.0,0.0,0.0,0.0,16.39,6.34,0.0
20190923:2210,0.0,0.0,0.0,0.0,0.0,16.39,5.86,0.0
20190923:2310,0.0,0.0,0.0,0.0,0.0,16.92,5.72,0.0
20190924:0010,0.0,0.0,0.0,0.0,0.0,16.92,5.45,0.0
20190924:0110,0.0,0.0,0.0,0.0,0.0,16.39,5.52,0.0
20190924:0210,0.0,0.0,0.0,0.0,0.0,16.39,6.07,0.0
20190924:0310,0.0,0.0,0.0,0.0,0.0,16.39,5.86,0.0
20190924:0410,0.0,0.0,0.0,0.0,0.0,15.86,6.48,0.0
20190924:0510,0.0,0.0,0.0,0.0,0.0,15.86,6.97,0.0
20190924:0610,0.0,0.0,0.0,0.0,0.0,15.86,6.76,0.0
20190924:0710,34.94,19.53,67.3,3.33,11.24,16.39,6.21,0.0
20190924:0810,111.8,88.52,145.43,7.76,20.05,15.86,5.38,0.0
20190924:0910,28.11,0.0,70.85,3.21,27.84,16.39,6.21,0.0
20190924:1010,380.7,566.52,208.94,19.14,34.0,16.39,5.72,0.0
20190924:1110,131.22,38.38,231.36,11.01,37.79,16.39,5.66,0.0
20190924:1210,300.52,308.58,300.88,17.73,38.63,17.45,5.79,0.0
20190924:1310,233.07,193.54,279.39,15.11,36.36,18.51,6.28,0.0
20190924:1410,275.33,317.08,241.09,15.41,31.39,18.51,6.76,0.0
20190924:1510,182.98,184.63,188.98,11.05,24.38,18.51,7.38,0.0
20190924:1610,95.02,87.21,117.82,6.5,16.05,17.45,7.66,0.0
20190924:1710,10.57,3.31,31.45,1.48,6.94,16.39,6.97,0.0
20190924:1810,0.0,0.0,0.0,0.0,0.0,15.86,6.14,0.0
20190924:1910,0.0,0.0,0.0,0.0,0.0,15.33,5.86,0.0
20190924:2010,0.0,0.0,0.0,0.0,0.0,15.33,5.79,0.0
20190924:2110,0.0,0.0,0.0,0.0,0.0,15.33,6.28,0.0
20190924:2210,0.0,0.0,0.0,0.0,0.0,15.33,6.14,0.0
20190924:2310,0.0,0.0,0.0,0.0,0.0,14.8,6.34,0.0
20190925:0010,0.0,0.0,0.0,0.0,0.0,14.8,6.62,0.0
20190925:0110,0.0,0.0,0.0,0.0,0.0,15.33,7.31,0.0
20190925:0210,0.0,0.0,0.0,0.0,0.0,15.33,7.1,0.0
20190925:0310,0.0,0.0,0.0,0.0,0.0,15.33,6.69,0.0
20190925:0410,0.0,0.0,0.0,0.0,0.0,15.33,6.76,0.0
20190925:0510,0.0,0.0,0.0,0.0,0.0,15.33,6.62,0.0
20190925:0610,0.0,0.0,0.0,0.0,0.0,15.33,6.14,0.0
20190925:0710,51.3,48.49,73.24,3.95,10.98,15.33,6.55,0.0
20190925:0810,123.25,109.51,145.58,8.02,19.78,15.33,6.76,0.0
20190925:0910,58.9,3.24,127.56,5.84,27.54,15.86,7.03,0.0
20190925:1010,156.24,84.01,233.37,11.64,33.66,16.39,6.48,0.0
20190925:1110,49.05,0.0,112.38,5.1,37.42,16.92,6.55,0.0
20190925:1210,178.92,96.75,265.98,13.26,38.24,17.45,6.9,0.0
20190925:1310,44.24,0.0,103.42,4.69,35.96,17.98,6.9,0.0
20190925:1410,81.02,11.32,163.34,7.57,30.99,17.98,6.69,0.0
20190925:1510,109.46,63.43,166.38,8.35,24.0,17.98,6.62,0.0
20190925:1610,74.5,55.99,108.89,5.65,15.68,17.98,6.41,0.0
20190925:1710,34.32,55.34,43.18,2.7,6.58,17.45,5.24,0.0
20190925:1810,0.0,0.0,0.0,0.0,0.0,16.39,4.21,0.0
20190925:1910,0.0,0.0,0.0,0.0,0.0,15.86,3.66,0.0
20190925:2010,0.0,0.0,0.0,0.0,0.0,15.86,4.07,0.0
20190925:2110,0.0,0.0,0.0,0.0,0.0,15.86,4.62,0.0
20190925:2210,0.0,0.0,0.0,0.0,0.0,15.33,4.62,0.0
20190925:2310,0.0,0.0,0.0,0.0,0.0,15.86,4.83,0.0
20190926:0010,0.0,0.0,0.0,0.0,0.0,15.86,5.24,0.0
20190926:0110,0.0,0.0,0.0,0.0,0.0,15.86,5.31,0.0
20190926:0210,0.0,0.0,0.0,0.0,0.0,16.39,6.83,0.0
20190926:0310,0.0,0.0,0.0,0.0,0.0,16.39,6.9,0.0
20190926:0410,0.0,0.0,0.0,0.0,0.0,16.39,6.48,0.0
20190926:0510,0.0,0.0,0.0,0.0,0.0,16.39,6.9,0.0
20190926:0610,0.0,0.0,0.0,0.0,0.0,16.39,7.79,0.0
20190926:0710,27.64,12.03,59.25,2.84,10.73,16.39,7.1,0.0
20190926:0810,36.32,1.66,85.76,3.92,19.5,16.92,6.55,0.0
20190926:0910,70.54,9.84,144.33,6.69,27.24,17.45,6.62,0.0
20190926:1010,298.52,345.79,257.12,16.37,33.32,17.45,6.69,0.0
20190926:1110,245.5,208.27,286.32,15.52,37.05,17.45,6.9,0.0
20190926:1210,204.38,134.99,277.99,14.22,37.84,17.98,7.66,0.0
20190926:1310,171.48,96.09,252.16,12.6,35.56,17.98,8.14,0.0
20190926:1410,161.18,104.62,223.88,11.42,30.6,17.98,8.0,0.0
20190926:1510,184.7,191.15,183.74,10.79,23.62,17.45,7.93,0.0
20190926:1610,119.5,139.43,114.56,7.02,15.31,16.92,7.59,0.0
20190926:1710,9.26,3.63,28.27,1.33,6.22,16.39,7.24,0.0
20190926:1810,0.0,0.0,0.0,0.0,0.0,15.86,6.83,0.0
20190926:1910,0.0,0.0,0.0,0.0,0.0,15.33,6.76,0.0
20190926:2010,0.0,0.0,0.0,0.0,0.0,15.33,6.69,0.0
20190926:2110,0.0,0.0,0.0,0.0,0.0,15.33,6.76,0.0
20190926:2210,0.0,0.0,0.0,0.0,0.0,15.33,6.83,0.0
20190926:2310,0.0,0.0,0.0,0.0,0.0,14.8,6.76,0.0
20190927:0010,0.0,0.0,0.0,0.0,0.0,14.8,6.69,0.0
20190927:0110,0.0,0.0,0.0,0.0,0.0,14.8,6.62,0.0
20190927:0210,0.0,0.0,0.0,0.0,0.0,14.8,6.55,0.0
20190927:0310,0.0,0.0,0.0,0.0,0.0,14.27,6.28,0.0
20190927:0410,0.0,0.0,0.0,0.0,0.0,14.27,6.21,0.0
20190927:0510,0.0,0.0,0.0,0.0,0.0,14.27,6.28,0.0
20190927:0610,0.0,0.0,0.0,0.0,0.0,14.27,6.28,0.0
20190927:0710,88.12,130.87,70.19,4.95,10.47,14.8,6.34,0.0
20190927:0810,21.86,0.0,57.82,2.62,19.23,15.33,7.66,0.0
20190927:0910,27.07,0.0,68.4,3.1,26.94,15.33,7.86,0.0
20190927:1010,222.19,187.74,255.09,13.82,32.98,15.33,7.59,0.0
20190927:1110,86.09,4.92,177.58,8.13,36.68,15.86,8.14,0.0
20190927:1210,114.68,22.97,214.0,10.01,37.45,16.39,8.97,0.0
20190927:1310,282.6,284.33,277.56,16.15,35.17,15.86,8.9,0.0
20190927:1410,179.7,132.15,227.94,11.9,30.21,15.86,9.52,0.0
20190927:1510,128.63,91.85,170.77,8.83,23.24,15.33,10.48,0.0
20190927:1610,16.4,0.0,46.42,2.11,14.94,15.33,8.34,0.0
20190927:1710,22.04,28.67,37.45,2.0,5.86,15.33,7.45,0.0
20190927:1810,0.0,0.0,0.0,0.0,0.0,15.33,6.9,0.0
20190927:1910,0.0,0.0,0.0,0.0,0.0,14.8,5.86,0.0
20190927:2010,0.0,0.0,0.0,0.0,0.0,14.8,5.59,0.0
20190927:2110,0.0,0.0,0.0,0.0,0.0,14.27,5.79,0.0
20190927:2210,0.0,0.0,0.0,0.0,0.0,13.74,5.72,0.0
20190927:2310,0.0,0.0,0.0,0.0,0.0,13.74,5.66,0.0
20190928:0010,0.0,0.0,0.0,0.0,0.0,13.74,5.45,0.0
20190928:0110,0.0,0.0,0.0,0.0,0.0,13.74,5.66,0.0
20190928:0210,0.0,0.0,0.0,0.0,0.0,13.74,6.0,0.0
20190928:0310,0.0,0.0,0.0,0.0,0.0,13.74,6.0,0.0
20190928:0410,0.0,0.0,0.0,0.0,0.0,13.74,6.28,0.0
20190928:0510,0.0,0.0,0.0,0.0,0.0,14.27,6.14,0.0
20190928:0610,0.0,0.0,0.0,0.0,0.0,14.27,6.34,0.0
20190928:0710,62.36,72.81,72.6,4.1,10.21,14.8,6.69,0.0
20190928:0810,198.6,269.08,133.46,9.86,18.95,15.33,7.24,0.0
20190928:0910,274.55,350.83,197.18,13.85,26.63,15.86,8.07,0.0
20190928:1010,231.59,206.2,256.95,14.08,32.65,16.39,8.0,0.0
20190928:1110,300.42,314.66,287.81,16.96,36.3,16.92,8.0,0.0
20190928:1210,311.5,330.97,294.34,17.48,37.05,16.92,7.93,0.0
20190928:1310,228.16,187.44,269.78,14.41,34.77,16.92,8.21,0.0
20190928:1410,114.61,43.41,193.7,9.31,29.82,16.39,8.07,0.0
20190928:1510,99.29,52.48,155.91,7.68,22.87,16.39,8.21,0.0
20190928:1610,9.63,0.0,31.76,1.44,14.58,16.39,6.97,0.0
20190928:1710,9.0,6.06,25.81,1.26,5.5,15.33,5.93,0.0
20190928:1810,0.0,0.0,0.0,0.0,0.0,15.33,6.14,0.0
20190928:1910,0.0,0.0,0.0,0.0,0.0,15.33,6.21,0.0
20190928:2010,0.0,0.0,0.0,0.0,0.0,15.33,7.38,0.0
20190928:2110,0.0,0.0,0.0,0.0,0.0,15.33,8.83,0.0
20190928:2210,0.0,0.0,0.0,0.0,0.0,15.33,9.52,0.0
20190928:2310,0.0,0.0,0.0,0.0,0.0,15.33,10.0,0.0
20190929:0010,0.0,0.0,0.0,0.0,0.0,15.33,10.28,0.0
20190929:0110,0.0,0.0,0.0,0.0,0.0,15.33,10.28,0.0
20190929:0210,0.0,0.0,0.0,0.0,0.0,15.33,10.28,0.0
20190929:0310,0.0,0.0,0.0,0.0,0.0,15.33,10.14,0.0
20190929:0410,0.0,0.0,0.0,0.0,0.0,15.33,9.86,0.0
20190929:0510,0.0,0.0,0.0,0.0,0.0,15.86,9.59,0.0
20190929:0610,0.0,0.0,0.0,0.0,0.0,15.86,9.1,0.0
20190929:0710,17.43,3.75,45.4,2.11,9.95,15.86,7.86,0.0
20190929:0810,29.44,0.0,73.29,3.33,18.67,15.86,8.83,0.0
20190929:0910,20.18,0.0,54.56,2.48,26.33,16.39,9.45,0.0
20190929:1010,43.4,0.0,100.97,4.58,32.31,16.39,9.52,0.0
20190929:1110,58.66,0.0,131.1,5.95,35.93,17.45,8.76,0.0
20190929:1210,96.76,11.69,192.79,8.9,36.66,17.98,8.69,0.0
20190929:1310,59.38,0.0,132.73,6.02,34.37,17.98,9.31,0.0
20190929:1410,64.3,3.37,138.19,6.32,29.43,16.92,9.31,0.0
20190929:1510,246.01,336.41,157.02,11.93,22.49,16.92,9.79,0.0
20190929:1610,89.72,89.46,104.76,5.73,14.21,16.39,9.66,0.0
20190929:1710,9.51,8.57,25.23,1.26,5.14,15.86,8.9,0.0
20190929:1810,0.0,0.0,0.0,0.0,0.0,15.33,7.45,0.0
20190929:1910,0.0,0.0,0.0,0.0,0.0,15.33,6.76,0.0
20190929:2010,0.0,0.0,0.0,0.0,0.0,14.8,5.66,0.0
20190929:2110,0.0,0.0,0.0,0.0,0.0,14.27,5.03,0.0
20190929:2210,0.0,0.0,0.0,0.0,0.0,13.74,4.62,0.0
20190929:2310,0.0,0.0,0.0,0.0,0.0,13.21,4.41,0.0
20190930:0010,0.0,0.0,0.0,0.0,0.0,13.21,4.07,0.0
20190930:0110,0.0,0.0,0.0,0.0,0.0,12.68,3.59,0.0
20190930:0210,0.0,0.0,0.0,0.0,0.0,12.68,3.31,0.0
20190930:0310,0.0,0.0,0.0,0.0,0.0,12.68,3.1,0.0
20190930:0410,0.0,0.0,0.0,0.0,0.0,12.68,2.9,0.0
20190930:0510,0.0,0.0,0.0,0.0,0.0,12.15,2.83,0.0
20190930:0610,0.0,0.0,0.0,0.0,0.0,12.15,2.9,0.0
20190930:0710,25.24,13.52,52.23,2.51,9.7,12.68,2.83,0.0
20190930:0810,99.4,77.9,131.35,6.8,18.39,13.74,2.76,0.0
20190930:0910,31.56,0.0,77.36,3.51,26.02,14.8,3.86,0.0
20190930:1010,59.02,0.0,131.1,5.95,31.97,15.33,4.21,0.0
20190930:1110,139.56,55.64,229.98,11.08,35.56,15.86,4.83,0.0
20190930:1210,127.06,38.74,222.63,10.57,36.27,15.86,5.17,0.0
20190930:1310,52.58,0.0,118.89,5.39,33.97,15.86,4.62,0.0
20190930:1410,21.78,0.0,57.82,2.62,29.04,15.86,5.17,0.0
