Latitude (decimal degrees):	55.953
Longitude (decimal degrees):	-3.188
Elevation (m):	65
Radiation database:	PVGIS-SARAH2


Slope: 56 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	0.7
System losses (%):	0.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20141123:1811,0.0,0.0,0.0,0.0,0.0,4.36,4.0,0.0
20141123:1911,0.0,0.0,0.0,0.0,0.0,4.51,4.21,0.0
20141123:2011,0.0,0.0,0.0,0.0,0.0,4.44,4.28,0.0
20141123:2111,0.0,0.0,0.0,0.0,0.0,4.45,4.55,0.0
20141123:2211,0.0,0.0,0.0,0.0,0.0,4.64,4.76,0.0
20141123:2311,0.0,0.0,0.0,0.0,0.0,4.75,4.83,0.0
20141124:0011,0.0,0.0,0.0,0.0,0.0,4.79,4.9,0.0
20141124:0111,0.0,0.0,0.0,0.0,0.0,4.86,4.76,0.0
20141124:0211,0.0,0.0,0.0,0.0,0.0,4.99,4.48,0.0
20141124:0311,0.0,0.0,0.0,0.0,0.0,5.27,4.21,0.0
20141124:0411,0.0,0.0,0.0,0.0,0.0,5.38,4.14,0.0
20141124:0511,0.0,0.0,0.0,0.0,0.0,5.4,4.21,0.0
20141124:0611,0.0,0.0,0.0,0.0,0.0,5.2,4.07,0.0
20141124:0711,0.0,0.0,0.0,0.0,0.0,5.68,4.0,0.0
20141124:0811,0.0,0.0,0.0,0.0,0.0,5.51,3.79,0.0
20141124:0911,6.8,0.0,20.25,1.14,5.64,5.47,3.59,0.0
20141124:1011,74.33,52.05,70.66,3.7,10.14,6.01,3.38,0.0
20141124:1111,115.5,82.42,99.18,5.19,12.84,6.72,2.97,0.0
20141124:1211,88.39,52.13,90.96,4.93,13.49,7.21,2.97,0.0
20141124:1311,264.07,264.82,134.07,6.47,12.05,7.44,3.1,0.0
20141124:1411,234.69,251.55,104.08,4.58,8.64,7.33,3.66,0.0
20141124:1511,78.96,102.13,29.71,1.36,3.53,6.88,3.66,0.0
20141124:1611,0.0,0.0,0.0,0.0,0.0,6.23,3.66,0.0
20141124:1711,0.0,0.0,0.0,0.0,0.0,5.57,3.59,0.0
20141124:1811,0.0,0.0,0.0,0.0,0.0,5.13,3.59,0.0
20141124:1911,0.0,0.0,0.0,0.0,0.0,5.32,4.0,0.0
20141124:2011,0.0,0.0,0.0,0.0,0.0,5.41,4.0,0.0
20141124:2111,0.0,0.0,0.0,0.0,0.0,5.61,3.86,0.0
20141124:2211,0.0,0.0,0.0,0.0,0.0,5.89,3.59,0.0
20141124:2311,0.0,0.0,0.0,0.0,0.0,6.36,3.31,0.0
20141125:0011,0.0,0.0,0.0,0.0,0.0,6.48,2.9,0.0
20141125:0111,0.0,0.0,0.0,0.0,0.0,6.63,2.55,0.0
20141125:0211,0.0,0.0,0.0,0.0,0.0,6.32,2.21,0.0
20141125:0311,0.0,0.0,0.0,0.0,0.0,5.48,2.0,0.0
20141125:0411,0.0,0.0,0.0,0.0,0.0,4.81,1.72,0.0
20141125:0511,0.0,0.0,0.0,0.0,0.0,3.84,1.52,0.0
20141125:0611,0.0,0.0,0.0,0.0,0.0,3.42,1.17,0.0
20141125:0711,0.0,0.0,0.0,0.0,0.0,4.88,0.69,0.0
20141125:0811,0.0,0.0,0.0,0.0,0.0,5.09,0.34,0.0
20141125:0911,18.76,14.65,26.07,1.41,5.42,5.13,0.21,0.0
20141125:1011,135.14,120.56,90.76,4.36,9.93,5.56,0.34,0.0
20141125:1111,99.51,66.9,92.29,4.88,12.63,6.15,0.97,0.0
20141125:1211,156.47,125.96,115.59,5.9,13.29,6.44,1.1,0.0
20141125:1311,80.94,51.99,80.74,4.31,11.86,6.57,1.17,0.0
20141125:1411,51.98,37.39,53.77,2.82,8.47,6.7,1.31,0.0
20141125:1511,1.14,0.0,8.57,0.48,3.38,6.51,1.45,0.0
20141125:1611,0.0,0.0,0.0,0.0,0.0,6.26,1.45,0.0
20141125:1711,0.0,0.0,0.0,0.0,0.0,6.19,1.38,0.0
20141125:1811,0.0,0.0,0.0,0.0,0.0,6.21,1.17,0.0
20141125:1911,0.0,0.0,0.0,0.0,0.0,6.44,1.45,0.0
20141125:2011,0.0,0.0,0.0,0.0,0.0,6.55,1.38,0.0
20141125:2111,0.0,0.0,0.0,0.0,0.0,6.48,1.31,0.0
20141125:2211,0.0,0.0,0.0,0.0,0.0,6.23,1.24,0.0
20141125:2311,0.0,0.0,0.0,0.0,0.0,5.69,1.45,0.0
20141126:0011,0.0,0.0,0.0,0.0,0.0,4.84,1.45,0.0
20141126:0111,0.0,0.0,0.0,0.0,0.0,3.73,1.59,0.0
20141126:0211,0.0,0.0,0.0,0.0,0.0,3.12,1.66,0.0
20141126:0311,0.0,0.0,0.0,0.0,0.0,2.47,1.66,0.0
20141126:0411,0.0,0.0,0.0,0.0,0.0,2.42,1.66,0.0
20141126:0511,0.0,0.0,0.0,0.0,0.0,2.0,1.59,0.0
20141126:0611,0.0,0.0,0.0,0.0,0.0,1.51,1.45,0.0
20141126:0711,0.0,0.0,0.0,0.0,0.0,1.68,1.03,0.0
20141126:0811,0.0,0.0,0.0,0.0,0.0,2.04,0.9,0.0
20141126:0911,4.4,0.0,15.58,0.88,5.22,3.15,0.41,0.0
20141126:1011,54.38,34.4,59.12,3.17,9.72,3.65,0.21,0.0
20141126:1111,56.32,25.45,70.84,3.92,12.43,4.47,0.41,0.0
20141126:1211,24.92,0.0,49.85,2.82,13.1,5.11,0.69,0.0
20141126:1311,102.23,74.7,88.09,4.58,11.69,5.41,0.9,0.0
20141126:1411,8.96,0.0,24.15,1.36,8.31,5.66,1.1,0.0
20141126:1511,9.09,11.16,13.58,0.75,3.23,5.7,1.24,0.0
20141126:1611,0.0,0.0,0.0,0.0,0.0,5.54,1.1,0.0
20141126:1711,0.0,0.0,0.0,0.0,0.0,5.4,1.03,0.0
20141126:1811,0.0,0.0,0.0,0.0,0.0,5.23,0.97,0.0
20141126:1911,0.0,0.0,0.0,0.0,0.0,5.09,1.17,0.0
20141126:2011,0.0,0.0,0.0,0.0,0.0,5.04,1.03,0.0
20141126:2111,0.0,0.0,0.0,0.0,0.0,5.05,0.97,0.0
20141126:2211,0.0,0.0,0.0,0.0,0.0,4.8,0.97,0.0
20141126:2311,0.0,0.0,0.0,0.0,0.0,4.77,1.03,0.0
20141127:0011,0.0,0.0,0.0,0.0,0.0,4.73,1.1,0.0
20141127:0111,0.0,0.0,0.0,0.0,0.0,4.57,1.17,0.0
20141127:0211,0.0,0.0,0.0,0.0,0.0,4.69,1.24,0.0
20141127:0311,0.0,0.0,0.0,0.0,0.0,4.82,1.24,0.0
20141127:0411,0.0,0.0,0.0,0.0,0.0,4.54,1.31,0.0
20141127:0511,0.0,0.0,0.0,0.0,0.0,4.29,1.38,0.0
20141127:0611,0.0,0.0,0.0,0.0,0.0,4.48,1.45,0.0
20141127:0711,0.0,0.0,0.0,0.0,0.0,4.61,1.59,0.0
20141127:0811,0.0,0.0,0.0,0.0,0.0,4.84,1.79,0.0
20141127:0911,0.57,0.0,7.01,0.4,5.01,5.14,1.93,0.0
20141127:1011,64.01,45.06,62.96,3.3,9.52,5.69,1.93,0.0
20141127:1111,5.92,0.0,18.69,1.06,12.23,6.53,2.14,0.0
20141127:1211,22.22,0.0,45.95,2.6,12.92,6.86,2.07,0.0
20141127:1311,10.23,0.0,26.48,1.5,11.51,7.07,2.0,0.0
20141127:1411,1.76,0.0,10.13,0.57,8.15,7.08,2.28,0.0
20141127:1511,0.0,0.0,2.34,0.13,3.09,7.13,2.55,0.0
20141127:1611,0.0,0.0,0.0,0.0,0.0,7.27,2.69,0.0
20141127:1711,0.0,0.0,0.0,0.0,0.0,7.47,2.48,0.0
20141127:1811,0.0,0.0,0.0,0.0,0.0,7.67,2.41,0.0
20141127:1911,0.0,0.0,0.0,0.0,0.0,8.0,2.48,0.0
20141127:2011,0.0,0.0,0.0,0.0,0.0,8.18,2.55,0.0
20141127:2111,0.0,0.0,0.0,0.0,0.0,8.3,2.62,0.0
20141127:2211,0.0,0.0,0.0,0.0,0.0,8.32,2.21,0.0
20141127:2311,0.0,0.0,0.0,0.0,0.0,8.3,2.0,0.0
20141128:0011,0.0,0.0,0.0,0.0,0.0,8.23,2.0,0.0
20141128:0111,0.0,0.0,0.0,0.0,0.0,8.08,2.34,0.0
20141128:0211,0.0,0.0,0.0,0.0,0.0,7.82,2.69,0.0
20141128:0311,0.0,0.0,0.0,0.0,0.0,7.32,2.83,0.0
20141128:0411,0.0,0.0,0.0,0.0,0.0,6.62,2.69,0.0
20141128:0511,0.0,0.0,0.0,0.0,0.0,5.89,2.62,0.0
20141128:0611,0.0,0.0,0.0,0.0,0.0,5.62,2.48,0.0
20141128:0711,0.0,0.0,0.0,0.0,0.0,5.78,2.28,0.0
20141128:0811,0.0,0.0,0.0,0.0,0.0,6.13,2.28,0.0
20141128:0911,1.13,0.0,8.57,0.48,4.82,6.76,2.21,0.0
20141128:1011,3.15,0.0,13.24,0.75,9.33,7.48,2.07,0.0
20141128:1111,8.83,0.0,24.15,1.36,12.04,8.29,2.97,0.0
20141128:1211,11.49,0.0,28.82,1.63,12.74,8.75,2.97,0.0
20141128:1311,9.68,0.0,25.7,1.45,11.35,9.05,3.31,0.0
20141128:1411,2.76,0.0,12.46,0.7,8.0,8.9,3.24,0.0
20141128:1511,0.05,0.0,5.45,0.31,2.96,8.57,3.1,0.0
20141128:1611,0.0,0.0,0.0,0.0,0.0,8.31,2.83,0.0
20141128:1711,0.0,0.0,0.0,0.0,0.0,8.19,2.62,0.0
20141128:1811,0.0,0.0,0.0,0.0,0.0,8.11,2.48,0.0
20141128:1911,0.0,0.0,0.0,0.0,0.0,8.29,2.69,0.0
20141128:2011,0.0,0.0,0.0,0.0,0.0,8.32,2.76,0.0
20141128:2111,0.0,0.0,0.0,0.0,0.0,8.36,2.9,0.0
20141128:2211,0.0,0.0,0.0,0.0,0.0,8.37,2.83,0.0
20141128:2311,0.0,0.0,0.0,0.0,0.0,8.33,2.69,0.0
20141129:0011,0.0,0.0,0.0,0.0,0.0,8.28,2.55,0.0
20141129:0111,0.0,0.0,0.0,0.0,0.0,8.14,2.48,0.0
20141129:0211,0.0,0.0,0.0,0.0,0.0,8.09,2.48,0.0
20141129:0311,0.0,0.0,0.0,0.0,0.0,7.99,2.69,0.0
20141129:0411,0.0,0.0,0.0,0.0,0.0,7.93,2.69,0.0
20141129:0511,0.0,0.0,0.0,0.0,0.0,7.84,2.62,0.0
20141129:0611,0.0,0.0,0.0,0.0,0.0,7.82,2.62,0.0
20141129:0711,0.0,0.0,0.0,0.0,0.0,7.83,2.62,0.0
20141129:0811,0.0,0.0,0.0,0.0,0.0,7.86,2.69,0.0
20141129:0911,0.29,0.0,6.23,0.35,4.63,7.92,2.41,0.0
20141129:1011,21.52,5.19,40.0,2.24,9.14,8.19,2.14,0.0
20141129:1111,27.37,4.42,49.93,2.82,11.86,8.84,2.69,0.0
20141129:1211,14.25,0.0,33.49,1.89,12.57,8.89,1.45,0.0
20141129:1311,13.31,0.0,31.93,1.8,11.19,9.03,1.45,0.0
20141129:1411,77.6,68.92,60.89,2.95,7.86,8.94,1.72,0.0
20141129:1511,0.05,0.0,5.45,0.31,2.84,8.63,1.93,0.0
20141129:1611,0.0,0.0,0.0,0.0,0.0,8.07,2.0,0.0
20141129:1711,0.0,0.0,0.0,0.0,0.0,7.51,2.07,0.0
20141129:1811,0.0,0.0,0.0,0.0,0.0,7.73,2.14,0.0
20141129:1911,0.0,0.0,0.0,0.0,0.0,8.36,2.83,0.0
20141129:2011,0.0,0.0,0.0,0.0,0.0,8.48,3.1,0.0
20141129:2111,0.0,0.0,0.0,0.0,0.0,8.59,3.38,0.0
20141129:2211,0.0,0.0,0.0,0.0,0.0,8.72,3.59,0.0
20141129:2311,0.0,0.0,0.0,0.0,0.0,8.63,4.0,0.0
20141130:0011,0.0,0.0,0.0,0.0,0.0,8.02,4.0,0.0
20141130:0111,0.0,0.0,0.0,0.0,0.0,7.4,3.52,0.0
20141130:0211,0.0,0.0,0.0,0.0,0.0,7.32,3.31,0.0
20141130:0311,0.0,0.0,0.0,0.0,0.0,7.73,3.24,0.0
20141130:0411,0.0,0.0,0.0,0.0,0.0,8.14,3.24,0.0
20141130:0511,0.0,0.0,0.0,0.0,0.0,8.03,3.38,0.0
20141130:0611,0.0,0.0,0.0,0.0,0.0,7.93,3.45,0.0
20141130:0711,0.0,0.0,0.0,0.0,0.0,7.57,3.17,0.0
20141130:0811,0.0,0.0,0.0,0.0,0.0,7.04,2.62,0.0
20141130:0911,60.72,70.65,34.11,1.58,4.44,6.67,2.34,0.0
20141130:1011,321.44,375.53,114.02,5.28,8.96,7.22,2.21,0.0
20141130:1111,372.98,429.97,141.62,7.17,11.68,7.86,2.14,0.0
20141130:1211,422.38,510.4,142.48,7.97,12.4,8.44,2.21,0.0
20141130:1311,352.53,407.71,133.79,6.65,11.04,8.33,1.93,0.0
20141130:1411,237.78,268.69,97.65,4.09,7.73,8.26,1.38,0.0
20141130:1511,0.83,0.0,7.79,0.44,2.72,7.94,1.45,0.0
20141130:1611,0.0,0.0,0.0,0.0,0.0,6.82,1.1,0.0
20141130:1711,0.0,0.0,0.0,0.0,0.0,5.5,1.24,0.0
20141130:1811,0.0,0.0,0.0,0.0,0.0,5.18,1.17,0.0
20141130:1911,0.0,0.0,0.0,0.0,0.0,4.18,1.31,0.0
20141130:2011,0.0,0.0,0.0,0.0,0.0,3.38,1.38,0.0
20141130:2111,0.0,0.0,0.0,0.0,0.0,2.86,1.31,0.0
20141130:2211,0.0,0.0,0.0,0.0,0.0,2.8,1.24,0.0
20141130:2311,0.0,0.0,0.0,0.0,0.0,3.02,1.38,0.0
20141201:0011,0.0,0.0,0.0,0.0,0.0,3.57,1.45,0.0
20141201:0111,0.0,0.0,0.0,0.0,0.0,3.71,1.38,0.0
20141201:0211,0.0,0.0,0.0,0.0,0.0,3.92,1.66,0.0
20141201:0311,0.0,0.0,0.0,0.0,0.0,4.17,1.86,0.0
20141201:0411,0.0,0.0,0.0,0.0,0.0,4.49,1.86,0.0
20141201:0511,0.0,0.0,0.0,0.0,0.0,4.87,1.93,0.0
20141201:0611,0.0,0.0,0.0,0.0,0.0,5.26,2.14,0.0
20141201:0711,0.0,0.0,0.0,0.0,0.0,5.4,2.21,0.0
20141201:0811,0.0,0.0,0.0,0.0,0.0,5.53,2.21,0.0
20141201:0911,2.82,0.0,12.46,0.7,4.26,5.79,2.28,0.0
20141201:1011,99.52,86.15,73.22,3.52,8.78,6.2,2.55,0.0
20141201:1111,100.52,72.6,87.85,4.53,11.51,6.62,2.69,0.0
20141201:1211,19.74,0.0,42.06,2.38,12.24,6.87,2.62,0.0
20141201:1311,14.38,0.0,33.49,1.89,10.9,7.27,2.83,0.0
20141201:1411,8.88,0.0,24.15,1.36,7.6,7.44,3.1,0.0
20141201:1511,78.31,110.82,20.68,0.97,2.61,7.4,2.76,0.0
20141201:1611,0.0,0.0,0.0,0.0,0.0,7.13,2.69,0.0
20141201:1711,0.0,0.0,0.0,0.0,0.0,7.01,2.76,0.0
20141201:1811,0.0,0.0,0.0,0.0,0.0,6.94,2.83,0.0
20141201:1911,0.0,0.0,0.0,0.0,0.0,7.04,2.9,0.0
20141201:2011,0.0,0.0,0.0,0.0,0.0,6.99,3.38,0.0
20141201:2111,0.0,0.0,0.0,0.0,0.0,6.63,4.0,0.0
20141201:2211,0.0,0.0,0.0,0.0,0.0,6.02,4.07,0.0
20141201:2311,0.0,0.0,0.0,0.0,0.0,5.49,3.79,0.0
20141202:0011,0.0,0.0,0.0,0.0,0.0,5.02,3.59,0.0
20141202:0111,0.0,0.0,0.0,0.0,0.0,4.71,3.52,0.0
20141202:0211,0.0,0.0,0.0,0.0,0.0,4.3,3.59,0.0
20141202:0311,0.0,0.0,0.0,0.0,0.0,3.7,3.72,0.0
20141202:0411,0.0,0.0,0.0,0.0,0.0,3.16,3.66,0.0
20141202:0511,0.0,0.0,0.0,0.0,0.0,2.47,3.31,0.0
20141202:0611,0.0,0.0,0.0,0.0,0.0,1.94,3.17,0.0
20141202:0711,0.0,0.0,0.0,0.0,0.0,1.73,3.1,0.0
20141202:0811,0.0,0.0,0.0,0.0,0.0,1.37,2.97,0.0
20141202:0911,0.0,0.0,0.0,0.0,0.0,1.18,2.83,0.0
20141202:1011,0.0,0.0,0.0,0.0,0.0,1.86,2.76,0.0
20141202:1111,0.0,0.0,0.0,0.0,0.0,2.89,2.69,0.0
20141202:1211,0.0,0.0,0.0,0.0,0.0,3.71,2.76,0.0
20141202:1311,0.0,0.0,0.0,0.0,0.0,4.19,2.76,0.0
20141202:1411,0.0,0.0,0.0,0.0,0.0,4.34,2.83,0.0
20141202:1511,0.0,0.0,0.0,0.0,0.0,3.94,2.55,0.0
20141202:1611,0.0,0.0,0.0,0.0,0.0,3.18,2.48,0.0
20141202:1711,0.0,0.0,0.0,0.0,0.0,2.65,2.48,0.0
20141202:1811,0.0,0.0,0.0,0.0,0.0,2.25,2.55,0.0
20141202:1911,0.0,0.0,0.0,0.0,0.0,2.13,2.69,0.0
20141202:2011,0.0,0.0,0.0,0.0,0.0,2.04,2.69,0.0
20141202:2111,0.0,0.0,0.0,0.0,0.0,2.02,2.69,0.0
20141202:2211,0.0,0.0,0.0,0.0,0.0,2.03,2.69,0.0
20141202:2311,0.0,0.0,0.0,0.0,0.0,2.26,2.69,0.0
20141203:0011,0.0,0.0,0.0,0.0,0.0,2.28,2.69,0.0
20141203:0111,0.0,0.0,0.0,0.0,0.0,2.3,2.76,0.0
20141203:0211,0.0,0.0,0.0,0.0,0.0,2.4,2.76,0.0
20141203:0311,0.0,0.0,0.0,0.0,0.0,2.49,2.76,0.0
20141203:0411,0.0,0.0,0.0,0.0,0.0,2.63,2.83,0.0
20141203:0511,0.0,0.0,0.0,0.0,0.0,2.78,2.76,0.0
20141203:0611,0.0,0.0,0.0,0.0,0.0,2.85,2.76,0.0
20141203:0711,0.0,0.0,0.0,0.0,0.0,2.83,2.76,0.0
20141203:0811,0.0,0.0,0.0,0.0,0.0,2.91,2.55,0.0
20141203:0911,128.42,158.96,40.73,1.72,3.91,2.81,2.41,0.0
20141203:1011,203.23,206.28,99.63,4.22,8.44,3.48,2.14,0.0
20141203:1111,114.2,88.38,90.83,4.58,11.19,5.02,1.86,0.0
20141203:1211,450.53,559.21,135.66,7.92,11.95,6.03,1.79,0.0
20141203:1311,0.0,0.0,0.0,0.0,0.0,6.48,1.79,0.0
20141203:1411,0.0,0.0,0.0,0.0,0.0,6.4,1.86,0.0
20141203:1511,39.78,60.11,13.91,0.7,2.41,5.84,2.07,0.0
20141203:1611,0.0,0.0,0.0,0.0,0.0,4.7,2.28,0.0
20141203:1711,0.0,0.0,0.0,0.0,0.0,3.98,2.21,0.0
20141203:1811,0.0,0.0,0.0,0.0,0.0,3.59,2.21,0.0
20141203:1911,0.0,0.0,0.0,0.0,0.0,3.61,2.14,0.0
20141203:2011,0.0,0.0,0.0,0.0,0.0,3.46,2.07,0.0
20141203:2111,0.0,0.0,0.0,0.0,0.0,3.23,2.0,0.0
20141203:2211,0.0,0.0,0.0,0.0,0.0,3.75,1.79,0.0
20141203:2311,0.0,0.0,0.0,0.0,0.0,4.22,1.66,0.0
20141204:0011,0.0,0.0,0.0,0.0,0.0,4.47,1.72,0.0
20141204:0111,0.0,0.0,0.0,0.0,0.0,4.66,1.72,0.0
20141204:0211,0.0,0.0,0.0,0.0,0.0,4.66,1.79,0.0
20141204:0311,0.0,0.0,0.0,0.0,0.0,4.66,1.79,0.0
20141204:0411,0.0,0.0,0.0,0.0,0.0,4.59,1.79,0.0
20141204:0511,0.0,0.0,0.0,0.0,0.0,4.51,1.72,0.0
20141204:0611,0.0,0.0,0.0,0.0,0.0,3.74,1.72,0.0
20141204:0711,0.0,0.0,0.0,0.0,0.0,4.0,1.59,0.0
20141204:0811,0.0,0.0,0.0,0.0,0.0,3.71,1.59,0.0
20141204:0911,1.48,0.0,9.35,0.53,3.75,3.25,1.66,0.0
20141204:1011,11.35,0.0,28.04,1.58,8.28,3.48,1.66,0.0
20141204:1111,15.59,0.0,35.05,1.98,11.04,3.96,1.93,0.0
20141204:1211,15.57,0.0,35.05,1.98,11.81,4.3,2.07,0.0
